PMS_Reference__c,tenancy_status__c,status
108779001001,Current,Activated
103091002001,Current,Activated
103196002004,Current,Activated
103686002002,Current,Activated
103686001002,Current,Activated
104209006002,Current,Activated
104173006002,Current,Activated
103088002002,Current,Activated
103088001001,Current,Activated
103954001003,Current,Activated
110498001002,Current,Activated
103093001001,Current,Activated
103414001004,Current,Activated
103066001001,Current,Activated
103336104001,Current,Activated
104189006001,Current,Activated
104803001001,Current,Activated
103070001001,Current,Activated
103166004002,Current,Activated
103213001001,Current,Activated
103168001001,Current,Activated
103448008001,Current,Activated
103071001001,Current,Activated
103082001001,Current,Activated
103094001001,Current,Activated
103734007003,Current,Activated
103429001001,Current,Activated
103862001001,Current,Activated
103082002001,Current,Activated
103086009002,Current,Activated
103445002001,Current,Activated
103739003002,Current,Activated
103078001001,Current,Activated
103124001001,Current,Activated
103096001001,Current,Activated
103065001001,Current,Activated
103385001006,Current,Activated
103087002001,Current,Activated
103177002006,Current,Activated
103496001001,Current,Activated
103682001001,Current,Activated
103734030002,Current,Activated
103906001001,Current,Activated
103087001005,Current,Activated
103734009001,Current,Activated
103126001002,Current,Activated
103102001001,Current,Activated
103086005002,Current,Activated
103139001001,Current,Activated
103393002001,Current,Activated
103580002002,Current,Activated
103103001003,Current,Activated
103179002002,Current,Activated
104010001002,Current,Activated
104722012003,Current,Activated
103086007001,Current,Activated
103086020002,Current,Activated
103128001001,Current,Activated
103336078001,Current,Activated
103494001001,Current,Activated
103103002002,Current,Activated
103509001001,Current,Activated
103684001001,Current,Activated
103104001001,Current,Activated
103901001001,Current,Activated
104407005002,Current,Activated
103086021001,Current,Activated
104106001002,Current,Activated
104164001001,Current,Activated
104484001003,Current,Activated
103124002003,Current,Activated
103086004001,Current,Activated
103818002005,Current,Activated
104191001002,Current,Activated
103086024001,Current,Activated
104696005001,Current,Activated
105839001003,Current,Activated
103086022002,Current,Activated
103180007002,Current,Activated
103883001001,Current,Activated
103168002005,Current,Activated
103180002002,Current,Activated
103121001001,Current,Activated
104455033001,Current,Activated
103086003002,Current,Activated
103155001001,Current,Activated
104152093004,Current,Activated
104174007006,Current,Activated
103086001001,Current,Activated
103178001002,Current,Activated
103086006001,Current,Activated
103745001001,Current,Activated
103734026002,Current,Activated
104407004006,Current,Activated
104455024001,Current,Activated
103125001001,Current,Activated
103166003003,Current,Activated
104154025002,Current,Activated
103448017002,Current,Activated
103734016002,Current,Activated
104021001003,Current,Activated
104152023004,Current,Activated
103100003003,Current,Activated
103139002002,Current,Activated
103158001001,Current,Activated
103129001001,Current,Activated
104152069006,Current,Activated
104234002003,Current,Activated
104296001001,Current,Activated
104310001003,Current,Activated
103132001002,Current,Activated
103219001001,Current,Activated
103475001001,Current,Activated
103086023001,Current,Activated
103100002003,Current,Activated
104152001005,Current,Activated
104152027001,Current,Activated
104223021004,Current,Activated
103129002005,Current,Activated
104267001001,Current,Activated
104174071004,Current,Activated
103086002002,Current,Activated
103132002002,Current,Activated
104152082003,Current,Activated
104174023002,Current,Activated
104350014002,Current,Activated
103100004002,Current,Activated
103390001001,Current,Activated
103336139001,Current,Activated
103086025001,Current,Activated
103141002002,Current,Activated
103141001001,Current,Activated
103874001005,Current,Activated
104721027006,Current,Activated
103086010002,Current,Activated
103086014001,Current,Activated
103922001001,Current,Activated
104174041002,Current,Activated
104455022001,Current,Activated
103136004002,Current,Activated
103734008002,Current,Activated
104168007002,Current,Activated
104403001003,Current,Activated
103138002003,Current,Activated
103893001002,Current,Activated
103133001001,Current,Activated
104351001001,Current,Activated
104654002003,Current,Activated
108798001001,Current,Activated
103136002006,Current,Activated
